Z,A,mass
28,52,49346.6275724422
29,52,49367.30767300997
18,53,49375.97802011527
19,53,50288.38580837389
20,53,50271.29382308864
21,53,50261.911975637566
22,53,50253.800097437925
23,53,50248.82985542509
24,53,50245.39391274513
25,53,50245.99118024314
26,53,50249.73404650388
27,53,50258.02215407276
28,53,50271.05070312791
29,53,50287.5418747171
18,54,50313.24179700278
19,54,51227.02540205067
20,54,51207.01504574255
21,54,51197.73769888885
22,54,51186.43182056144
23,54,51182.2773652481
24,54,51175.24025332728
25,54,51176.61738631771
26,54,51175.92101716215
27,54,51184.16556527231
28,54,51192.89732112632
29,54,51210.93570441962
30,54,51226.47395754204
19,55,51232.646037464656
20,55,52145.01936044149
21,55,52132.82762749669
22,55,52121.83726671463
23,55,52114.544599386805
24,55,52108.55941164641
25,55,52105.957192516384
26,55,52106.18831297009
27,55,52109.63973894502
28,55,52118.33377394535
29,55,52132.03433265378
30,55,52149.40017720516
19,56,52171.64984533549
20,56,53081.653447315766
21,56,53069.64798897261
22,56,53055.74084163914
23,56,53048.9804365619
24,56,53039.8787098803
25,56,53038.25217120693
26,56,53034.55667421579
27,56,53039.12331939541
28,56,53041.25618845505
29,56,53056.534104811246
30,56,53069.774103027645
31,56,53091.32421908706
19,57,53109.29367181679
20,57,54020.09835872515
21,57,54005.27828755569
22,57,53992.25609129032
23,57,53982.22287702677
24,57,53974.13295507461
25,57,53969.17166099413
26,57,53966.4759226507
27,57,53967.31228232895
28,57,53970.573978790606
29,57,53979.34892523166
30,57,53994.1078102795
31,57,54011.24823325808
19,58,54048.58810584757
20,58,54956.62159780124
21,58,54942.672473617546
22,58,54927.23437380952
23,58,54917.72145861779
24,58,54906.16023446954
25,58,54902.32447402796
26,58,54895.99677124863
27,58,54898.30475002159
28,58,54897.92317091449
29,58,54906.48419135147
30,58,54915.85317114301
31,58,54934.612255149324
32,58,54950.57247510015
19,59,54986.90167658852
20,59,54963.961771328286
21,59,55878.81659459396
22,59,55863.7664443812
23,59,55852.03552715784
24,59,55841.53021398479
25,59,55834.12081647352
26,59,55828.98118691563
27,59,55827.416306631385
28,59,55828.48931145485
29,59,55833.2876900113
30,59,55842.430465775
31,59,55855.88600427476
32,59,55873.27606767278
20,60,55900.6461588841
21,60,56816.58989875549
22,60,56799.04054986595
23,60,56788.05284570508
24,60,56774.231747002304
25,60,56768.172301483566
26,60,56759.72707321547
27,60,56759.48980955816
28,60,56756.66700330974
29,60,56762.79498443856
30,60,56766.96577722695
31,60,56781.54988510487
32,60,56793.60993924886
33,60,56815.50005065566
20,61,56840.150179087934
21,61,56821.6404597788
22,61,57736.26427250706
23,61,57722.45722818732
24,61,57710.137847016704
25,61,57700.892219400186
26,61,57693.71384639873
27,61,57689.73617096765
28,61,57688.41232037137
29,61,57690.65028711609
30,61,57696.28544359164
31,61,57705.49968730885
32,61,57718.84440129776
33,61,57735.434311261815
21,62,57759.94471557872
22,62,58671.92867402073
23,62,58658.91528782659
24,62,58643.27584091085
25,62,58635.60448769661
26,62,58625.25039513913
27,62,58622.70405261433
28,62,58617.38201229234
29,62,58621.340908802325
30,62,58622.96036346305
31,62,58632.14143015482
32,62,58641.98859058084
33,62,58659.70840289113
21,63,58697.19824603111
22,63,59609.76252529893
23,63,59593.88241384092
24,63,59579.44425525345
25,63,59568.735493522
26,63,59559.98692513095
27,63,59553.77100164392
28,63,59550.10966254152
29,63,59550.04268625256
30,63,59553.40912550007
31,63,59559.07545442575
32,63,59568.701333770274
33,63,59582.12230079791
34,63,59598.77275787861
22,64,60545.63651298564
23,64,60530.79688044003
24,64,60513.47667909969
25,64,60504.12761651505
26,64,60492.14710451545
27,64,60487.32421462319
28,64,60480.01762332152
29,64,60481.6922382685
30,64,60481.11263935062
31,64,60488.28383053255
32,64,60492.80115403095
33,64,60507.5840474078
34,64,60520.25702467118
22,65,60552.3265036292
23,65,61466.50040470599
24,65,61450.30079077085
25,65,61437.64341510221
26,65,61427.39285718272
27,65,61419.42555338822
28,65,61413.48496279098
29,65,61411.34708229308
30,65,61412.69873426234
31,65,61415.95327219184
32,65,61422.13253579696
33,65,61431.67370320483
34,65,61445.59115658904
35,65,61462.12051943644
23,66,62403.805167334016
24,66,62384.96476761853
25,66,62373.35446956648
26,66,62360.03701482099
27,66,62353.69632049343
28,66,62344.09856854482
29,66,62343.8465723768
30,66,62341.20563289991
31,66,62346.38113243269
32,66,62348.49782050827
33,66,62358.07977804288
34,66,62368.44471971216
35,66,62386.535266675215
23,67,63339.85520740608
24,67,63322.32914586911
25,67,63308.01860197367
26,67,63295.8905487602
27,67,63286.277180312965
28,67,63277.85627615037
29,67,63274.27941052214
30,67,63273.71858773088
31,67,63274.719807892834
32,67,63278.925245741375
33,67,63285.011731602426
34,67,63295.01867028034
35,67,63309.0693273212
36,67,63326.04767032596
24,68,64257.40298012184
25,68,64244.17296938521
26,68,64229.19640720655
27,68,64221.45047577999
28,68,64209.62924368293
29,68,64207.52602314908
30,68,64203.08591212832
31,68,64206.007011497415
32,68,64206.11426745435
33,68,64214.19853896329
34,68,64218.90361720745
35,68,64234.30192638189
36,68,64247.46673253136
24,69,65194.957383169305
25,69,65179.22724226179
26,69,65165.38803438219
27,69,65154.20172170625
28,69,65144.608512654384
29,69,65138.85094760735
30,69,65136.16926271543
31,69,65135.25934946839
32,69,65137.48649504612
33,69,65141.47498698673
34,69,65148.15245462357
35,69,65158.32769099844
36,69,65172.4468966903
24,70,66130.4410748271
25,70,66115.63125009279
26,70,66099.19131067922
27,70,66089.55630828146
28,70,66076.86740246891
29,70,66073.10489099757
30,70,66066.5165235661
31,70,66067.17112080014
32,70,66065.51923524075
33,70,66071.74729795891
34,70,66074.15137152647
35,70,66084.6556442206
36,70,66094.98095733629
25,71,67050.95565625906
26,71,67035.64561919174
27,71,67023.2054437289
28,71,67012.16913793173
29,71,67004.86423915485
30,71,67000.24658722116
31,71,66997.43624715832
32,71,66997.66871641549
33,71,66999.68211669901
34,71,67004.42885881138
35,71,67011.07294728857
36,71,67021.24816223908
37,71,67035.2851309741
25,72,67987.89993066946
26,72,67969.81963014153
27,72,67958.76931560456
28,72,67944.84340797988
29,72,67939.2864699956
30,72,67930.92398169114
31,72,67930.48119224358
32,72,67926.48356607182
33,72,67930.83966750247
34,72,67931.20128748544
35,72,67940.0077258791
36,72,67945.12889415536
37,72,67960.73942563117
25,73,68923.86334178998
26,73,68906.57387975501
27,73,68892.59401626595
28,73,68880.45541947075
29,73,68871.57613358079
30,73,68864.97016743125
31,73,68860.8642345772
32,73,68859.26604592684
33,73,68859.61082170195
34,73,68862.33618248934
35,73,68866.91779212172
36,73,68874.01182019518
37,73,68884.55196752171
38,73,68898.61333115576
26,74,69841.39807358832
27,74,69828.51737314009
28,74,69813.35730662325
29,74,69806.05146796882
30,74,69796.30096030235
31,74,69794.00805496695
32,74,69788.63522958652
33,74,69791.19761709722
34,74,69789.84447007993
35,74,69796.76951953425
36,74,69799.72583683238
37,74,69810.14166509299
38,74,69821.23029477688
26,75,70778.85187527271
27,75,70762.99132519086
28,75,70749.31140280276
29,75,70739.0815641066
30,75,70730.9928670692
31,75,70725.09114399487
32,75,70721.69481030712
33,75,70720.51758060853
34,75,70721.38229403575
35,75,70724.4447634703
36,75,70729.22815149216
37,75,70736.33308177261
38,75,70746.93308132117
39,75,70761.7319451644
26,76,71714.45572966973
27,76,71699.38601808083
28,76,71682.85572373933
29,76,71674.06425818187
30,76,71662.7428620942
31,76,71658.74923762109
32,76,71651.83298799154
33,76,71652.75450206615
34,76,71649.79392597699
35,76,71654.75680732343
36,76,71656.03218017214
37,76,71664.56679740878
38,76,71670.79824051906
39,76,71686.79594379256
27,77,72634.6303157543
28,77,72619.18986951263
29,77,72607.67716037172
30,77,72597.75078475574
31,77,72590.54763587414
32,77,72585.3271181629
33,77,72582.62365400737
34,77,72581.9404915752
35,77,72583.30517048949
36,77,72586.37053687067
37,77,72591.7094884681
38,77,72598.73654491008
39,77,72610.10128155535
40,77,72624.93998260685
27,78,73572.71380745195
28,78,73553.15429428939
29,78,73543.24461663669
30,78,73530.55084842493
31,78,73524.33000478605
32,78,73516.17203253225
33,78,73515.2171206681
34,78,73511.00813941598
35,78,73514.58192273024
36,78,73513.855807242
37,78,73521.0986629227
38,78,73524.86014136708
39,78,73535.86110627801
40,78,73547.184348587
28,79,74491.36819516137
29,79,74477.1201545202
30,79,74466.0958910788
31,79,74456.9798380179
32,79,74450.00101340904
33,79,74445.8921118833
34,79,74443.61072726696
35,79,74443.46012516347
36,79,74445.08590373765
37,79,74448.72541513875
38,79,74454.04852854194
39,79,74461.72525834014
40,79,74472.75787448917
41,79,74487.87788675961
28,80,75427.78244942748
29,80,75414.3428525178
30,80,75399.37367615588
31,80,75391.79862080194
32,80,75381.4869810882
33,80,75378.80769386211
34,80,75373.26280848002
35,80,75375.13327006204
36,80,75373.12884006673
37,80,75378.8468184774
38,80,75380.71082759976
39,80,75389.87413256199
40,80,75396.2625519899
41,80,75412.60189004039
28,81,76366.42670057478
29,81,76350.60620473934
30,81,76336.316728446
31,81,76324.88843595813
32,81,76316.22470246095
33,81,76309.98308370911
34,81,76306.12737904729
35,81,76304.53934740863
36,81,76304.82019846948
37,81,76307.05969379602
38,81,76310.9882636525
39,81,76316.80347886954
40,81,76324.99197991105
41,81,76336.15593672854
42,81,76351.0561163908
28,82,77303.29086649236
29,82,77288.28077052602
30,82,77271.69653988151
31,82,77261.07977437059
32,82,77248.59542466294
33,82,77243.90507240905
34,82,77236.4166050209
35,82,77236.51182327954
36,82,77233.41870552796
37,82,77237.82268791654
38,82,77238.00043748415
39,82,77245.94640261175
40,82,77250.39643683918
41,82,77262.20079864653
42,82,77273.64047771832
29,83,78225.11419713822
30,83,78209.21452430404
31,83,78196.24747435252
32,83,78184.5281607512
33,83,78175.83527148863
34,83,78170.16405967086
35,83,78166.49088127841
36,83,78165.51395914011
37,83,78166.43396326278
38,83,78168.70698678803
39,83,78173.298930416
40,83,78179.59294291663
41,83,78187.89169280561
42,83,78199.16463443308
43,83,78214.18497683454
29,84,79163.27872882276
30,84,79145.16862048357
31,84,79132.90456913115
32,84,79118.85026994834
33,84,79111.14513703197
34,84,79101.05097417781
35,84,79099.21561036207
36,84,79094.55936018178
37,84,79097.23973066098
38,84,79096.34912449219
39,84,79103.10426569627
40,84,79105.57701273503
41,84,79115.80486269126
42,84,79122.8285974253
43,84,79139.29834465013
30,85,80083.39276779068
31,85,80068.74874900658
32,85,80055.36938064257
33,85,80045.30365537186
34,85,80036.07916242503
35,85,80029.91732893753
36,85,80027.01246644215
37,85,80026.32546722301
38,85,80027.38951755641
39,85,80030.65067654598
40,85,80035.31761103815
41,85,80042.21312374598
42,85,80050.98304757084
43,85,80062.64280516523
44,85,80077.86248730462
30,86,81019.9253218078
31,86,81006.22676953765
32,86,80990.58698355807
33,86,80981.02476065751
34,86,80969.48373502739
35,86,80964.35464905124
36,86,80956.72123436222
37,86,80957.23990734342
38,86,80955.46381051994
39,86,80960.70380975035
40,86,80962.01788617903
41,86,80970.8528487851
42,86,80975.87598289606
43,86,80988.41660229943
44,86,81000.21676958886
31,87,81942.61121599248
32,87,81927.89081469199
33,87,81915.86309829725
34,87,81905.05487907749
35,87,81897.58932644427
36,87,81890.77148171469
37,87,81886.88321108755
38,87,81886.60093627522
39,87,81888.46262547428
40,87,81892.13386542752
41,87,81897.60651903092
42,87,81904.59619461457
43,87,81913.7909607901
44,87,81925.75117273873
31,88,82880.58479138603
32,88,82863.45554633669
33,88,82852.52539453893
34,88,82839.09091153188
35,88,82832.25914748592
36,88,82823.28381896506
37,88,82820.36611023449
38,88,82815.0534854549
39,88,82818.67608558058
40,88,82819.34624062911
41,88,82826.80355978597
42,88,82830.28856146583
43,88,82841.30481312648
44,88,82848.63547516723
45,88,82866.1149619991
32,89,83801.42912173025
33,89,83787.93922413905
34,89,83775.47681856947
35,89,83766.19494558593
36,89,83757.93342285872
37,89,83752.75681857395
38,89,83748.2601910115
39,89,83746.75801518427
40,89,83749.59124298871
41,89,83753.84346233406
42,89,83759.45427327974
43,89,83767.07436078458
44,89,83776.09979344171
45,89,83788.81855457173
32,90,84737.49313421386
33,90,84724.97292198327
34,90,84710.16309724894
35,90,84701.96301307825
36,90,84691.00406041433
37,90,84686.5977467941
38,90,84680.01237504766
39,90,84679.46640679287
40,90,84677.19077228961
41,90,84683.30178904784
42,90,84685.7908055626
43,90,84695.23862328898
44,90,84701.07951886693
45,90,84714.32967036904
46,90,84726.25372637408
33,91,85660.95775746816
34,91,85646.87729261603
35,91,85636.35012100237
36,91,85626.48344856939
37,91,85619.7123732272
38,91,85613.80547197715
39,91,85611.10610080672
40,91,85609.56182982949
41,91,85610.81939437395
42,91,85615.24858735234
43,91,85621.47076489076
44,91,85629.21758962017
45,91,85638.8878676996
46,91,85651.28791719097
33,92,86598.5717761382
34,92,86582.22778061718
35,92,86572.71871156458
36,92,86560.18219539273
37,92,86554.17907452788
38,92,86546.08415324688
39,92,86544.13502978238
40,92,86540.49250034039
41,92,86542.49823442746
42,92,86542.14293742646
43,92,86550.02582177344
44,92,86554.65031366832
45,92,86565.95242875956
46,92,86574.17242920565
47,92,86591.42162740804
34,93,87519.58563840904
35,93,87507.55539207632
36,93,87496.30962399482
37,93,87487.82572661205
38,93,87480.3597827513
39,93,87476.21847175124
40,93,87473.3235995301
41,93,87473.23278723855
42,93,87473.63854793255
43,93,87476.83951097874
44,93,87483.22890381799
45,93,87491.43381685409
46,93,87501.463817463
47,93,87514.04604298197
34,94,88455.1363976422
35,94,88444.29008031366
36,94,88430.59194907884
37,94,88423.37693761986
38,94,88413.09400841733
39,94,88409.58825677485
40,94,88404.67039733287
41,94,88405.57066588999
42,94,88403.52564976513
43,94,88407.78139761015
44,94,88409.35612658154
45,94,88419.03210540487
46,94,88425.83744855209
47,94,88439.53759740312
48,94,88451.49984466637
34,95,89392.97397489681
35,95,89379.58374717456
36,95,89367.2749114487
37,95,89357.54352456165
38,95,89348.31654732006
39,95,89342.22589395441
40,95,89337.77389147994
41,95,89336.6475604821
42,95,89335.72195901137
43,95,89337.41247642567
44,95,89339.97607301574
45,95,89345.0932153745
46,95,89353.46791836112
47,95,89363.5275833312
48,95,89376.37754447405
35,96,90316.71804638184
36,96,90301.84625213937
37,96,90293.57358315376
38,96,90282.00968654892
39,96,90276.59794800234
40,96,90269.48907377588
41,96,90269.32510380053
42,96,90266.13304490644
43,96,90269.1062855894
44,96,90268.84754913006
45,96,90275.24020219866
46,96,90278.74451468274
47,96,90290.41628855107
48,96,90299.3559278069
49,96,90316.83820912104
35,97,91252.4215706478
36,97,91238.99853756628
37,97,91227.9028918688
38,97,91217.84136204752
39,97,91210.30658170408
40,97,91203.4853435415
41,97,91200.81923975144
42,97,91198.87733629774
43,97,91199.19759980554
44,97,91200.3014724806
45,97,91203.82447259936
46,97,91208.61618352104
47,97,91215.5180098959
48,97,91225.68800941092
49,97,91239.03227441966
35,98,92189.8660573912
36,98,92173.79592113628
37,98,92163.54698681104
38,98,92151.49375027236
39,98,92145.62739137164
40,98,92136.63438122971
41,98,92134.39152693543
42,98,92129.80015897084
43,98,92131.48392491588
44,98,92129.69126731026
45,98,92134.74092012682
46,98,92136.5951532186
47,98,92144.84971395886
48,98,92150.27971444732
49,98,92164.0096440963
36,99,93111.0103288364
37,99,93098.28909086356
38,99,93086.89171466492
39,99,93078.76651051066
40,99,93071.79357108154
41,99,93067.07489768096
42,99,93063.44013503676
43,99,93062.0823724662
44,99,93061.78485604437
45,99,93063.82571956851
46,99,93067.22737953954
47,99,93072.69775843435
48,99,93079.479109088
49,99,93088.03409530615
50,99,93101.43363796944
36,100,94046.43440487164
37,100,94034.63845911348
38,100,94021.08683886006
39,100,94013.58310242058
40,100,94004.53160748996
41,100,94001.1130977221
42,100,93994.7113150798
43,100,93994.88339277984
44,100,93991.67695254833
45,100,93995.31321396652
46,100,93995.69167163689
47,100,94002.7663740022
48,100,94006.70974809446
49,100,94016.72619732717
50,100,94023.75619729052
36,101,94983.81834449836
37,101,94969.83102905646
38,101,94957.0735317442
39,101,94947.34365946658
40,101,94939.237459655
41,101,94933.5069582376
42,101,94928.87849445188
43,101,94926.05385316006
44,101,94924.44033304827
45,101,94924.98601812888
46,101,94926.96630100255
47,101,94931.06406185884
48,101,94936.5619803768
49,101,94943.8535448156
50,101,94952.09282160064
37,102,95906.640236822
38,102,95891.7332376914
39,102,95882.71990700564
40,102,95872.31112177194
41,102,95867.59428341471
42,102,95860.33168285356
43,102,95859.3196275522
44,102,95854.7861137548
45,102,95857.1092321014
46,102,95855.98958550525
47,102,95861.64584684266
