ring A Z kinergy_MeV
3 33 16 352.74819999794164
3 38 16 364.5354000020839
3 39 16 366.89284000291235
3 40 16 369.25028000374084
3 41 16 371.6077200045693
3 42 16 373.9651600053977
3 43 16 376.3226000062262
3 44 16 378.68004000705463
3 45 16 381.0374800078831
3 46 16 383.39492000871155
3 47 16 385.75236000954
3 48 16 388.1098000103685
3 49 16 390.4672400111969
3 35 17 384.3771
3 36 17 386.924
3 37 17 389.3726
3 38 17 391.7454
3 28 17 367.23430000073745
3 29 17 369.68965000074064
3 30 17 372.14500000074383
3 31 17 374.6003500007471
3 32 17 377.0557000007503
3 33 17 379.51105000075347
3 34 17 381.96640000075666
3 39 17 394.2431500007727
3 40 17 396.6985000007759
3 41 17 399.15385000077913
3 42 17 401.6092000007823
3 43 17 404.0645500007855
3 44 17 406.5199000007887
3 45 17 408.9752500007919
3 46 17 411.43060000079515
3 47 17 413.88595000079835
3 48 17 416.34130000080154
3 49 17 418.79665000080473
3 50 17 421.2520000008079
3 51 17 423.7073500008112
3 52 17 426.16270000081437
3 37 18 417.0098
3 38 18 419.5384
3 39 18 422.0147
3 40 18 424.4009
3 29 18 397.3238300008011
3 30 18 399.7887900008043
3 31 18 402.2537500008075
3 32 18 404.7187100008107
3 33 18 407.1836700008139
3 34 18 409.6486300008171
3 35 18 412.1135900008203
3 36 18 414.5785500008235
3 41 18 426.9033500008395
3 42 18 429.3683100008427
3 43 18 431.8332700008459
3 44 18 434.2982300008491
3 45 18 436.7631900008523
3 46 18 439.2281500008555
3 47 18 441.6931100008587
3 48 18 444.1580700008619
3 49 18 446.6230300008651
3 50 18 449.08799000086833
3 51 18 451.55295000087153
3 52 18 454.01791000087474
3 53 18 456.48287000087794
3 54 18 458.94783000088114
3 40 19 452.2943
3 41 19 454.7375
3 42 19 457.1202
3 43 19 459.428
3 31 19 430.9220100008703
3 32 19 433.3003900008732
3 33 19 435.6787700008763
3 34 19 438.05715000087923
3 35 19 440.43553000088224
3 36 19 442.81391000088524
3 37 19 445.19229000088825
3 38 19 447.57067000089125
3 39 19 449.94905000089426
3 44 19 461.84095000090923
3 45 19 464.21933000091224
3 46 19 466.59771000091524
3 47 19 468.97609000091825
3 48 19 471.35447000092125
3 49 19 473.73285000092426
3 50 19 476.1112300009272
3 51 19 478.48961000093027
3 52 19 480.8679900009332
3 53 19 483.2463700009362
3 54 19 485.62475000093923
3 55 19 488.00313000094224
3 56 19 490.38151000094524
3 57 19 492.75989000094825
3 58 19 495.13827000095125
3 59 19 497.5166500009542
3 40 20 480.5765
3 41 20 483.1978
3 42 20 485.7217
3 43 20 488.1694
3 33 20 462.9091400009354
3 34 20 465.4394000009387
3 35 20 467.9696600009421
3 36 20 470.4999200009454
3 37 20 473.0301800009488
3 38 20 475.5604400009521
3 39 20 478.0907000009555
3 44 20 490.74200000097227
3 45 20 493.2722600009756
3 46 20 495.802520000979
3 47 20 498.3327800009823
3 48 20 500.8630400009857
3 49 20 503.39330000098903
3 50 20 505.9235600009924
3 51 20 508.45382000099573
3 52 20 510.9840800009991
3 53 20 513.5143400010024
3 54 20 516.0446000010058
3 55 20 518.5748600010091
3 56 20 521.1051200010124
3 57 20 523.6353800010158
3 58 20 526.1656400010193
3 59 20 528.6959000010226
3 60 20 531.2261600010258
3 61 20 533.7564200010293
3 41 21 512.1008
3 42 21 514.7784
3 43 21 517.3671
3 44 21 519.8967
3 35 21 496.55345000100493
3 36 21 499.15109000100836
3 37 21 501.74873000101184
3 38 21 504.34637000101526
3 39 21 506.9440100010187
3 40 21 509.54165000102216
